city_name,aqi_grid,hour_of_day_local,avg_pm2_5,avg_us_aqi,sample_size
Cairo,cairo_giza,16,17.87,69.3,52
Cairo,cairo_giza,17,16.65,69.2,52
Cairo,cairo_giza,18,16.13,71.3,52
Cairo,cairo_giza,19,16.68,75.8,51
Cairo,cairo_giza,20,17.32,78.1,51
Cairo,cairo_giza,21,16.83,76.3,51
Cairo,cairo_giza,22,16.42,72.8,51
Cairo,cairo_giza,23,16.51,70.0,51
Giza,cairo_giza,0,16.63,69.3,51
Giza,cairo_giza,1,17.03,69.3,51
Giza,cairo_giza,2,17.91,69.3,51
Giza,cairo_giza,3,18.5,69.4,52
Giza,cairo_giza,4,19.71,69.4,52
Giza,cairo_giza,5,20.99,69.4,52
Giza,cairo_giza,6,22.42,69.4,52
Giza,cairo_giza,7,23.63,69.3,52
Giza,cairo_giza,8,23.32,69.4,52
Giza,cairo_giza,9,22.24,69.3,52
Giza,cairo_giza,10,21.42,69.3,52
Giza,cairo_giza,11,20.7,69.3,52
Giza,cairo_giza,12,20.96,69.3,52
Giza,cairo_giza,13,20.92,69.3,52
Giza,cairo_giza,14,20.0,69.2,52
Giza,cairo_giza,15,18.87,69.3,52
Giza,cairo_giza,16,17.87,69.3,52
Giza,cairo_giza,17,16.65,69.2,52
Giza,cairo_giza,18,16.13,71.3,52
Giza,cairo_giza,19,16.68,75.8,51
Giza,cairo_giza,20,17.32,78.1,51
Giza,cairo_giza,21,16.83,76.3,51
Giza,cairo_giza,22,16.42,72.8,51
Giza,cairo_giza,23,16.51,70.0,51
Luxor,luxor,0,76.02,143.3,51
Luxor,luxor,1,76.72,143.5,51
Luxor,luxor,2,74.97,143.5,51
Luxor,luxor,3,74.59,144.3,52
Luxor,luxor,4,72.15,144.0,52
Luxor,luxor,5,68.94,143.9,52
Luxor,luxor,6,66.07,143.8,52
Luxor,luxor,7,63.53,143.6,52
Luxor,luxor,8,59.82,143.3,52
Luxor,luxor,9,54.76,143.0,52
Luxor,luxor,10,43.99,142.5,52
Luxor,luxor,11,35.37,141.9,52
Luxor,luxor,12,30.97,141.8,52
Luxor,luxor,13,29.13,141.8,52
Luxor,luxor,14,28.99,141.7,52
Luxor,luxor,15,28.2,141.8,52
Luxor,luxor,16,30.76,141.8,52
Luxor,luxor,17,34.45,142.2,52
Luxor,luxor,18,39.09,142.5,52
Luxor,luxor,19,43.2,142.6,51
Luxor,luxor,20,47.78,142.8,51
Luxor,luxor,21,55.39,142.9,51
Luxor,luxor,22,64.21,143.1,51
Luxor,luxor,23,71.72,143.2,51
Mansoura,mansoura,0,13.97,58.9,51
Mansoura,mansoura,1,14.52,58.8,51
Mansoura,mansoura,2,14.99,58.9,51
Mansoura,mansoura,3,15.43,58.8,52
Mansoura,mansoura,4,16.41,59.0,52
Mansoura,mansoura,5,17.46,59.1,52
Mansoura,mansoura,6,18.19,59.1,52
Mansoura,mansoura,7,17.71,59.0,52
Mansoura,mansoura,8,16.04,59.0,52
Mansoura,mansoura,9,14.1,59.0,52
Mansoura,mansoura,10,13.55,58.9,52
Mansoura,mansoura,11,13.1,58.8,52
Mansoura,mansoura,12,12.84,58.9,52
Mansoura,mansoura,13,12.52,58.9,52
Mansoura,mansoura,14,11.94,58.8,52
Mansoura,mansoura,15,11.31,58.8,52
Mansoura,mansoura,16,11.08,58.8,52
Mansoura,mansoura,17,10.93,59.2,52
Mansoura,mansoura,18,10.9,60.7,52
Mansoura,mansoura,19,11.0,62.3,51
Mansoura,mansoura,20,11.67,62.2,51
Mansoura,mansoura,21,12.35,61.1,51
Mansoura,mansoura,22,12.83,60.0,51
Mansoura,mansoura,23,13.33,59.2,51
Port Said,port_said,0,12.18,59.0,51
Port Said,port_said,1,12.31,58.6,51
Port Said,port_said,2,12.49,58.7,51
Port Said,port_said,3,12.89,59.0,52
Port Said,port_said,4,13.66,59.0,52
Port Said,port_said,5,14.27,58.9,52
Port Said,port_said,6,14.87,58.9,52
Port Said,port_said,7,15.32,59.0,52
Port Said,port_said,8,14.99,58.9,52
Port Said,port_said,9,14.48,58.9,52
Port Said,port_said,10,14.65,58.9,52
Port Said,port_said,11,15.18,58.9,52
Port Said,port_said,12,15.66,58.8,52
Port Said,port_said,13,15.77,58.9,52
Port Said,port_said,14,14.77,58.8,52
Port Said,port_said,15,13.67,58.8,52
Port Said,port_said,16,12.94,59.0,52
Port Said,port_said,17,12.54,60.7,52
Port Said,port_said,18,12.3,63.9,52
Port Said,port_said,19,12.27,67.0,51
Port Said,port_said,20,12.26,67.4,51
Port Said,port_said,21,12.16,65.7,51
Port Said,port_said,22,12.07,62.8,51
Port Said,port_said,23,12.13,60.4,51
Suez,suez,0,13.47,74.9,51
Suez,suez,1,13.08,66.4,51
Suez,suez,2,12.67,62.1,51
Suez,suez,3,12.26,61.1,52
Suez,suez,4,11.98,60.8,52
Suez,suez,5,11.82,60.9,52
Suez,suez,6,11.91,60.8,52
Suez,suez,7,12.27,60.8,52
Suez,suez,8,13.19,60.9,52
Suez,suez,9,15.21,60.9,52
Suez,suez,10,16.02,60.8,52
Suez,suez,11,16.93,60.8,52
Suez,suez,12,17.38,60.8,52
Suez,suez,13,17.08,60.8,52
Suez,suez,14,16.32,60.7,52
Suez,suez,15,18.19,60.7,52
Suez,suez,16,17.22,65.5,52
Suez,suez,17,16.44,76.7,52
Suez,suez,18,15.78,88.7,52
Suez,suez,19,15.47,97.7,51
Suez,suez,20,15.32,100.5,51
Suez,suez,21,15.06,98.2,51
Suez,suez,22,14.46,92.1,51
Suez,suez,23,13.88,83.8,51
