city_id,city_name,governorate,aqi_grid,date_key,hours_observed,avg_pm2_5,max_pm2_5,avg_pm10,avg_us_aqi,max_us_aqi,avg_temp_c,avg_wind_kmh,hours_above_who
alexandria,Alexandria,Alexandria,alexandria,2026-08-01,24,17.77,23.6,30.81,65.0,67.0,27.9,7.5,16
aswan,Aswan,Aswan,aswan,2026-08-01,24,29.91,52.3,116.58,87.2,89.0,36.6,10.4,24
cairo,Cairo,Cairo,cairo_giza,2026-08-01,24,21.42,30.1,36.94,74.8,101.0,31.3,6.5,24
giza,Giza,Giza,cairo_giza,2026-08-01,24,21.42,30.1,36.94,74.8,101.0,30.9,7.2,24
luxor,Luxor,Luxor,luxor,2026-08-01,24,39.51,64.0,154.95,112.6,119.0,36.1,5.4,24
mansoura,Mansoura,Dakahlia,mansoura,2026-08-01,24,15.29,18.5,27.71,63.9,95.0,29.2,5.2,13
port_said,Port Said,Port Said,port_said,2026-08-01,24,10.44,11.6,18.18,51.6,53.0,29.6,11.2,0
suez,Suez,Suez,suez,2026-08-01,24,16.28,24.0,31.32,81.4,128.0,33.4,11.1,12
alexandria,Alexandria,Alexandria,alexandria,2026-08-02,24,16.79,23.7,28.57,65.9,73.0,27.5,8.6,13
aswan,Aswan,Aswan,aswan,2026-08-02,24,22.29,34.7,77.5,82.0,90.0,37.4,14.1,24
cairo,Cairo,Cairo,cairo_giza,2026-08-02,24,20.03,28.4,35.71,75.4,92.0,31.7,8.4,24
giza,Giza,Giza,cairo_giza,2026-08-02,24,20.03,28.4,35.71,75.4,92.0,31.6,9.1,24
luxor,Luxor,Luxor,luxor,2026-08-02,24,28.77,38.3,106.45,93.2,110.0,37.3,6.4,24
mansoura,Mansoura,Dakahlia,mansoura,2026-08-02,24,15.49,20.8,26.21,65.6,82.0,29.2,7.8,12
port_said,Port Said,Port Said,port_said,2026-08-02,24,12.37,14.3,21.39,54.5,56.0,29.8,13.5,0
suez,Suez,Suez,suez,2026-08-02,24,14.96,20.4,31.82,72.4,111.0,33.7,13.8,14
alexandria,Alexandria,Alexandria,alexandria,2026-08-03,24,15.33,18.1,27.93,62.8,65.0,27.0,10.8,14
aswan,Aswan,Aswan,aswan,2026-08-03,24,30.87,46.6,116.21,87.1,93.0,37.7,10.8,24
cairo,Cairo,Cairo,cairo_giza,2026-08-03,24,17.3,21.2,31.78,73.0,90.0,30.7,9.7,18
giza,Giza,Giza,cairo_giza,2026-08-03,24,17.3,21.2,31.78,73.0,90.0,30.7,10.9,18
luxor,Luxor,Luxor,luxor,2026-08-03,24,31.67,90.6,114.08,88.0,90.0,37.8,7.2,24
mansoura,Mansoura,Dakahlia,mansoura,2026-08-03,24,13.62,16.8,23.03,59.5,62.0,28.5,7.3,4
port_said,Port Said,Port Said,port_said,2026-08-03,24,12.78,14.3,21.82,57.0,57.0,28.9,12.8,0
suez,Suez,Suez,suez,2026-08-03,24,13.15,22.4,27.08,68.4,92.0,32.8,15.4,7
alexandria,Alexandria,Alexandria,alexandria,2026-08-04,24,14.74,17.7,30.38,61.2,62.0,27.7,10.6,7
aswan,Aswan,Aswan,aswan,2026-08-04,24,72.78,150.9,279.13,134.5,160.0,37.6,13.0,24
cairo,Cairo,Cairo,cairo_giza,2026-08-04,24,17.06,21.8,30.0,69.8,92.0,30.1,9.0,20
giza,Giza,Giza,cairo_giza,2026-08-04,24,17.06,21.8,30.0,69.8,92.0,30.1,10.2,20
luxor,Luxor,Luxor,luxor,2026-08-04,24,56.51,102.4,233.26,116.5,151.0,37.4,11.2,24
mansoura,Mansoura,Dakahlia,mansoura,2026-08-04,24,13.98,16.5,25.2,59.1,60.0,28.1,6.8,9
port_said,Port Said,Port Said,port_said,2026-08-04,24,15.43,17.1,28.79,61.7,75.0,28.6,11.6,17
suez,Suez,Suez,suez,2026-08-04,24,11.41,18.0,23.55,67.2,102.0,31.6,14.8,4
alexandria,Alexandria,Alexandria,alexandria,2026-08-05,24,14.04,15.7,25.78,60.0,61.0,28.0,10.3,5
aswan,Aswan,Aswan,aswan,2026-08-05,24,64.88,85.4,319.9,172.6,190.0,36.3,18.9,24
cairo,Cairo,Cairo,cairo_giza,2026-08-05,24,18.94,25.4,31.55,72.3,97.0,30.0,7.4,19
giza,Giza,Giza,cairo_giza,2026-08-05,24,18.94,25.4,31.55,72.3,97.0,29.9,8.7,19
luxor,Luxor,Luxor,luxor,2026-08-05,24,80.27,107.8,355.8,171.2,202.0,35.7,13.6,24
mansoura,Mansoura,Dakahlia,mansoura,2026-08-05,24,12.9,16.9,23.4,59.1,60.0,28.1,8.4,5
port_said,Port Said,Port Said,port_said,2026-08-05,24,15.29,18.6,29.15,68.0,87.0,28.3,12.4,13
suez,Suez,Suez,suez,2026-08-05,24,16.3,23.8,27.97,80.5,131.0,31.3,14.2,17
alexandria,Alexandria,Alexandria,alexandria,2026-08-06,24,11.93,13.4,23.64,57.9,60.0,27.5,8.7,0
aswan,Aswan,Aswan,aswan,2026-08-06,24,61.13,79.9,299.07,169.9,182.0,35.5,19.7,24
cairo,Cairo,Cairo,cairo_giza,2026-08-06,24,20.34,27.8,29.98,72.2,85.0,30.2,5.9,21
giza,Giza,Giza,cairo_giza,2026-08-06,24,20.34,27.8,29.98,72.2,85.0,29.8,6.5,21
luxor,Luxor,Luxor,luxor,2026-08-06,24,69.28,99.2,309.79,186.4,201.0,34.5,12.2,24
mansoura,Mansoura,Dakahlia,mansoura,2026-08-06,24,11.02,13.3,19.27,55.5,58.0,28.2,8.7,0
port_said,Port Said,Port Said,port_said,2026-08-06,24,13.57,16.9,24.65,65.9,85.0,27.9,14.0,3
suez,Suez,Suez,suez,2026-08-06,24,19.64,23.9,29.83,88.7,133.0,31.2,12.7,24
alexandria,Alexandria,Alexandria,alexandria,2026-08-07,24,13.41,15.2,22.28,56.8,58.0,27.0,9.3,2
aswan,Aswan,Aswan,aswan,2026-08-07,24,53.87,82.7,270.63,175.4,187.0,35.1,14.4,24
cairo,Cairo,Cairo,cairo_giza,2026-08-07,24,18.95,27.1,30.18,69.3,71.0,30.2,6.0,20
giza,Giza,Giza,cairo_giza,2026-08-07,24,18.95,27.1,30.18,69.3,71.0,29.8,6.6,20
luxor,Luxor,Luxor,luxor,2026-08-07,24,52.18,92.9,226.37,171.5,184.0,34.1,12.0,24
mansoura,Mansoura,Dakahlia,mansoura,2026-08-07,24,12.95,18.3,21.55,56.8,66.0,27.8,7.8,4
port_said,Port Said,Port Said,port_said,2026-08-07,24,13.74,16.2,24.43,62.8,80.0,27.7,12.0,4
suez,Suez,Suez,suez,2026-08-07,24,18.66,24.7,27.2,82.3,115.0,31.6,10.7,24
alexandria,Alexandria,Alexandria,alexandria,2026-08-08,24,14.33,15.8,27.33,59.2,60.0,27.9,12.0,3
aswan,Aswan,Aswan,aswan,2026-08-08,24,36.16,43.3,195.68,135.5,158.0,34.3,14.3,24
cairo,Cairo,Cairo,cairo_giza,2026-08-08,24,19.22,25.7,31.35,70.0,74.0,29.8,7.1,24
giza,Giza,Giza,cairo_giza,2026-08-08,24,19.22,25.7,31.35,70.0,74.0,29.5,8.0,24
luxor,Luxor,Luxor,luxor,2026-08-08,24,43.38,81.5,185.34,122.7,142.0,34.2,8.6,24
mansoura,Mansoura,Dakahlia,mansoura,2026-08-08,24,13.86,17.0,24.16,57.9,59.0,28.7,8.9,8
port_said,Port Said,Port Said,port_said,2026-08-08,24,14.84,17.1,27.13,61.8,72.0,28.4,12.6,11
suez,Suez,Suez,suez,2026-08-08,24,17.96,25.5,34.91,80.8,112.0,31.7,12.6,17
alexandria,Alexandria,Alexandria,alexandria,2026-08-09,24,15.23,16.6,25.61,60.7,62.0,28.0,8.2,15
aswan,Aswan,Aswan,aswan,2026-08-09,24,32.29,48.9,158.93,113.5,120.0,34.3,11.4,24
cairo,Cairo,Cairo,cairo_giza,2026-08-09,24,19.79,22.6,31.79,70.2,82.0,30.6,7.6,23
giza,Giza,Giza,cairo_giza,2026-08-09,24,19.79,22.6,31.79,70.2,82.0,30.4,8.6,23
luxor,Luxor,Luxor,luxor,2026-08-09,24,55.92,86.1,252.6,141.3,151.0,34.4,9.9,24
mansoura,Mansoura,Dakahlia,mansoura,2026-08-09,24,14.03,20.0,22.67,59.7,67.0,29.2,7.0,8
port_said,Port Said,Port Said,port_said,2026-08-09,24,13.99,15.7,24.93,62.4,73.0,28.8,11.9,4
suez,Suez,Suez,suez,2026-08-09,24,15.14,20.4,23.6,72.2,103.0,31.4,13.6,11
alexandria,Alexandria,Alexandria,alexandria,2026-08-10,24,21.73,27.0,33.6,68.2,73.0,27.7,6.5,24
aswan,Aswan,Aswan,aswan,2026-08-10,24,27.6,41.0,130.97,100.5,105.0,35.0,7.9,24
cairo,Cairo,Cairo,cairo_giza,2026-08-10,24,21.95,27.0,39.18,78.3,108.0,31.6,6.4,24
giza,Giza,Giza,cairo_giza,2026-08-10,24,21.95,27.0,39.18,78.3,108.0,31.2,7.1,24
luxor,Luxor,Luxor,luxor,2026-08-10,24,34.85,71.0,136.63,133.4,150.0,34.3,7.6,24
mansoura,Mansoura,Dakahlia,mansoura,2026-08-10,24,18.56,26.9,29.8,70.1,98.0,29.6,5.6,24
port_said,Port Said,Port Said,port_said,2026-08-10,24,12.79,14.7,20.54,58.0,59.0,29.4,11.5,0
suez,Suez,Suez,suez,2026-08-10,24,14.13,17.2,22.7,67.5,92.0,33.0,11.3,12
alexandria,Alexandria,Alexandria,alexandria,2026-08-11,24,25.81,42.2,38.1,79.8,82.0,29.0,9.0,24
aswan,Aswan,Aswan,aswan,2026-08-11,24,17.88,21.7,63.11,72.5,88.0,36.2,7.6,22
cairo,Cairo,Cairo,cairo_giza,2026-08-11,24,21.63,31.3,39.4,72.4,74.0,33.2,7.1,24
giza,Giza,Giza,cairo_giza,2026-08-11,24,21.63,31.3,39.4,72.4,74.0,32.8,6.9,24
luxor,Luxor,Luxor,luxor,2026-08-11,24,24.13,34.3,87.79,79.8,99.0,36.1,5.8,24
mansoura,Mansoura,Dakahlia,mansoura,2026-08-11,24,16.86,18.7,26.95,68.0,84.0,30.9,8.6,23
port_said,Port Said,Port Said,port_said,2026-08-11,24,14.37,16.0,23.23,58.5,60.0,30.5,12.5,10
suez,Suez,Suez,suez,2026-08-11,24,15.58,20.1,31.12,76.8,122.0,33.7,7.7,14
alexandria,Alexandria,Alexandria,alexandria,2026-08-12,24,17.88,20.2,33.05,72.6,82.0,28.4,10.5,24
aswan,Aswan,Aswan,aswan,2026-08-12,24,21.24,31.8,90.85,68.0,72.0,37.4,11.2,22
cairo,Cairo,Cairo,cairo_giza,2026-08-12,24,21.21,26.9,42.2,75.8,87.0,33.0,6.6,24
giza,Giza,Giza,cairo_giza,2026-08-12,24,21.21,26.9,42.2,75.8,87.0,32.5,7.0,24
luxor,Luxor,Luxor,luxor,2026-08-12,24,34.87,51.9,161.64,88.4,101.0,36.9,8.8,24
mansoura,Mansoura,Dakahlia,mansoura,2026-08-12,24,17.65,26.6,30.19,66.5,67.0,30.2,7.4,21
port_said,Port Said,Port Said,port_said,2026-08-12,24,15.7,17.5,27.05,61.5,65.0,29.9,11.6,17
suez,Suez,Suez,suez,2026-08-12,24,20.25,30.3,55.1,76.3,114.0,33.2,9.1,24
alexandria,Alexandria,Alexandria,alexandria,2026-08-13,24,14.7,16.7,26.21,63.8,67.0,28.4,10.8,11
aswan,Aswan,Aswan,aswan,2026-08-13,24,40.17,63.6,202.0,89.6,120.0,36.9,16.7,24
cairo,Cairo,Cairo,cairo_giza,2026-08-13,24,22.31,26.7,35.99,74.2,76.0,31.3,8.2,24
giza,Giza,Giza,cairo_giza,2026-08-13,24,22.31,26.7,35.99,74.2,76.0,31.0,9.2,24
luxor,Luxor,Luxor,luxor,2026-08-13,24,56.45,95.5,261.08,117.8,150.0,36.4,12.3,24
mansoura,Mansoura,Dakahlia,mansoura,2026-08-13,24,14.47,18.0,23.68,62.8,66.0,29.5,9.4,9
port_said,Port Said,Port Said,port_said,2026-08-13,24,16.0,19.0,28.75,65.2,77.0,29.1,13.9,16
suez,Suez,Suez,suez,2026-08-13,24,19.62,28.2,34.86,85.2,123.0,32.3,13.0,22
alexandria,Alexandria,Alexandria,alexandria,2026-08-14,24,14.99,17.1,27.85,60.0,61.0,28.6,12.2,16
aswan,Aswan,Aswan,aswan,2026-08-14,24,41.28,70.1,195.86,135.5,144.0,36.3,14.5,24
cairo,Cairo,Cairo,cairo_giza,2026-08-14,24,21.4,30.4,35.19,76.0,78.0,31.0,7.2,18
giza,Giza,Giza,cairo_giza,2026-08-14,24,21.4,30.4,35.19,76.0,78.0,30.9,7.7,18
luxor,Luxor,Luxor,luxor,2026-08-14,24,57.28,91.0,267.76,161.0,167.0,35.7,8.9,24
mansoura,Mansoura,Dakahlia,mansoura,2026-08-14,24,16.5,23.9,26.61,63.2,65.0,29.1,9.5,15
port_said,Port Said,Port Said,port_said,2026-08-14,24,15.42,18.4,26.95,65.0,80.0,29.1,12.9,14
suez,Suez,Suez,suez,2026-08-14,24,21.6,28.3,34.11,87.1,135.0,32.6,7.7,24
alexandria,Alexandria,Alexandria,alexandria,2026-08-15,24,14.45,17.4,27.77,61.8,62.0,28.3,12.3,9
aswan,Aswan,Aswan,aswan,2026-08-15,24,41.34,70.5,223.34,130.8,141.0,36.9,11.6,24
cairo,Cairo,Cairo,cairo_giza,2026-08-15,24,21.67,29.7,34.57,74.4,76.0,30.9,7.5,24
giza,Giza,Giza,cairo_giza,2026-08-15,24,21.67,29.7,34.57,74.4,76.0,30.8,8.0,24
luxor,Luxor,Luxor,luxor,2026-08-15,24,46.44,82.0,216.54,157.1,169.0,36.0,7.2,24
mansoura,Mansoura,Dakahlia,mansoura,2026-08-15,24,13.96,18.1,25.49,61.4,64.0,29.2,9.5,9
port_said,Port Said,Port Said,port_said,2026-08-15,24,16.43,20.1,28.98,65.2,76.0,28.8,12.5,18
suez,Suez,Suez,suez,2026-08-15,24,22.31,28.1,35.95,90.7,130.0,32.3,10.8,24
alexandria,Alexandria,Alexandria,alexandria,2026-08-16,24,13.25,15.0,25.26,59.0,60.0,27.7,9.3,0
aswan,Aswan,Aswan,aswan,2026-08-16,24,25.83,43.5,124.69,102.3,134.0,36.1,13.7,24
cairo,Cairo,Cairo,cairo_giza,2026-08-16,24,18.03,21.2,31.09,69.3,74.0,30.0,8.3,22
giza,Giza,Giza,cairo_giza,2026-08-16,24,18.03,21.2,31.09,69.3,74.0,30.0,9.2,22
luxor,Luxor,Luxor,luxor,2026-08-16,24,34.01,51.8,151.9,111.7,131.0,35.2,8.1,24
mansoura,Mansoura,Dakahlia,mansoura,2026-08-16,24,12.05,15.7,22.22,57.5,59.0,28.2,7.5,2
port_said,Port Said,Port Said,port_said,2026-08-16,24,13.31,15.8,24.47,61.6,64.0,28.6,12.3,7
suez,Suez,Suez,suez,2026-08-16,24,19.38,26.8,37.02,78.1,94.0,31.6,13.2,20
alexandria,Alexandria,Alexandria,alexandria,2026-08-17,24,12.53,14.9,22.81,57.2,58.0,27.3,7.1,0
aswan,Aswan,Aswan,aswan,2026-08-17,24,34.85,68.5,147.37,86.0,95.0,35.5,12.7,24
cairo,Cairo,Cairo,cairo_giza,2026-08-17,24,18.58,22.0,30.39,66.9,68.0,28.4,6.7,22
giza,Giza,Giza,cairo_giza,2026-08-17,24,18.58,22.0,30.39,66.9,68.0,28.3,7.8,22
luxor,Luxor,Luxor,luxor,2026-08-17,24,48.03,88.7,198.33,100.5,126.0,35.5,11.0,24
mansoura,Mansoura,Dakahlia,mansoura,2026-08-17,24,12.78,17.7,21.29,56.0,57.0,27.3,7.0,7
port_said,Port Said,Port Said,port_said,2026-08-17,24,11.96,15.6,21.67,55.7,58.0,27.9,12.8,2
suez,Suez,Suez,suez,2026-08-17,24,16.11,27.2,31.98,70.5,89.0,30.1,12.1,12
alexandria,Alexandria,Alexandria,alexandria,2026-08-18,24,13.41,18.8,22.05,60.8,82.0,27.3,6.5,8
aswan,Aswan,Aswan,aswan,2026-08-18,24,44.33,82.9,204.57,128.4,137.0,34.6,14.4,24
cairo,Cairo,Cairo,cairo_giza,2026-08-18,24,17.8,23.5,29.84,68.6,70.0,28.4,6.5,17
giza,Giza,Giza,cairo_giza,2026-08-18,24,17.8,23.5,29.84,68.6,70.0,28.3,7.4,17
luxor,Luxor,Luxor,luxor,2026-08-18,24,54.73,85.4,258.25,148.4,152.0,34.4,10.9,24
mansoura,Mansoura,Dakahlia,mansoura,2026-08-18,24,13.18,19.3,21.48,58.3,59.0,27.2,5.7,6
port_said,Port Said,Port Said,port_said,2026-08-18,24,11.68,15.2,21.33,56.8,61.0,27.9,12.1,2
suez,Suez,Suez,suez,2026-08-18,24,15.06,21.7,26.33,72.0,100.0,30.3,11.4,12
alexandria,Alexandria,Alexandria,alexandria,2026-08-19,24,11.93,15.1,19.25,57.8,77.0,26.9,7.5,1
aswan,Aswan,Aswan,aswan,2026-08-19,24,39.44,61.7,200.03,120.9,125.0,33.8,13.0,24
cairo,Cairo,Cairo,cairo_giza,2026-08-19,24,16.22,21.3,27.43,69.2,89.0,28.2,8.0,15
giza,Giza,Giza,cairo_giza,2026-08-19,24,16.22,21.3,27.43,69.2,89.0,28.2,9.0,15
luxor,Luxor,Luxor,luxor,2026-08-19,24,52.56,84.1,250.05,151.1,154.0,34.1,10.9,24
mansoura,Mansoura,Dakahlia,mansoura,2026-08-19,24,10.75,15.0,18.3,55.8,58.0,26.7,5.7,0
port_said,Port Said,Port Said,port_said,2026-08-19,24,9.64,10.8,15.8,52.8,55.0,27.9,12.4,0
suez,Suez,Suez,suez,2026-08-19,24,11.84,16.5,23.94,62.6,78.0,30.2,13.4,4
alexandria,Alexandria,Alexandria,alexandria,2026-08-20,24,15.45,17.7,21.5,58.1,62.0,27.1,9.5,15
aswan,Aswan,Aswan,aswan,2026-08-20,24,42.95,59.3,212.87,119.5,127.0,33.9,12.2,24
cairo,Cairo,Cairo,cairo_giza,2026-08-20,24,15.28,18.9,23.32,65.3,80.0,27.7,8.0,14
giza,Giza,Giza,cairo_giza,2026-08-20,24,15.28,18.9,23.32,65.3,80.0,27.6,8.9,14
luxor,Luxor,Luxor,luxor,2026-08-20,24,68.18,117.1,293.63,151.5,166.0,33.9,10.9,24
mansoura,Mansoura,Dakahlia,mansoura,2026-08-20,24,11.59,17.7,17.05,52.2,54.0,26.7,7.1,4
port_said,Port Said,Port Said,port_said,2026-08-20,24,9.12,11.7,14.8,49.4,51.0,27.8,12.5,0
suez,Suez,Suez,suez,2026-08-20,24,11.19,14.8,25.45,54.9,60.0,29.7,13.9,0
alexandria,Alexandria,Alexandria,alexandria,2026-08-21,24,14.53,17.5,22.25,61.6,63.0,27.0,10.0,4
aswan,Aswan,Aswan,aswan,2026-08-21,24,54.2,72.6,254.58,143.3,149.0,33.9,13.3,24
cairo,Cairo,Cairo,cairo_giza,2026-08-21,24,18.28,25.6,25.55,66.6,78.0,28.0,6.6,17
giza,Giza,Giza,cairo_giza,2026-08-21,24,18.28,25.6,25.55,66.6,78.0,27.8,8.0,17
luxor,Luxor,Luxor,luxor,2026-08-21,24,85.27,126.7,359.98,194.3,211.0,33.8,10.6,24
mansoura,Mansoura,Dakahlia,mansoura,2026-08-21,24,13.44,20.8,19.96,58.7,60.0,27.1,7.3,6
port_said,Port Said,Port Said,port_said,2026-08-21,24,12.28,13.8,19.53,54.6,61.0,28.1,12.2,0
suez,Suez,Suez,suez,2026-08-21,24,17.81,24.1,29.23,65.5,95.0,30.1,12.5,18
alexandria,Alexandria,Alexandria,alexandria,2026-08-22,24,15.23,16.4,22.03,60.8,62.0,27.4,9.8,15
aswan,Aswan,Aswan,aswan,2026-08-22,24,52.6,70.8,232.93,141.2,150.0,34.2,14.5,24
cairo,Cairo,Cairo,cairo_giza,2026-08-22,24,21.67,28.5,31.28,70.1,74.0,28.5,5.9,24
giza,Giza,Giza,cairo_giza,2026-08-22,24,21.67,28.5,31.28,70.1,74.0,28.3,6.8,24
luxor,Luxor,Luxor,luxor,2026-08-22,24,74.52,108.5,313.2,187.4,207.0,33.6,10.5,24
mansoura,Mansoura,Dakahlia,mansoura,2026-08-22,24,14.07,17.0,21.26,57.9,59.0,27.2,7.4,8
port_said,Port Said,Port Said,port_said,2026-08-22,24,14.47,16.6,25.03,59.8,70.0,27.9,12.5,4
suez,Suez,Suez,suez,2026-08-22,24,14.82,19.7,22.39,77.4,105.0,30.5,12.1,14
alexandria,Alexandria,Alexandria,alexandria,2026-08-23,24,14.22,15.9,24.46,61.0,62.0,27.9,9.1,5
aswan,Aswan,Aswan,aswan,2026-08-23,24,41.33,71.7,183.58,136.6,146.0,34.1,11.7,24
cairo,Cairo,Cairo,cairo_giza,2026-08-23,24,21.21,27.4,29.72,76.0,90.0,29.1,6.3,21
giza,Giza,Giza,cairo_giza,2026-08-23,24,21.21,27.4,29.72,76.0,90.0,29.0,7.1,21
luxor,Luxor,Luxor,luxor,2026-08-23,24,53.36,94.5,225.55,164.5,179.0,33.6,8.3,24
mansoura,Mansoura,Dakahlia,mansoura,2026-08-23,24,14.95,22.0,22.61,61.5,63.0,27.9,6.8,12
port_said,Port Said,Port Said,port_said,2026-08-23,24,14.75,20.4,24.95,66.9,87.0,27.9,10.6,13
suez,Suez,Suez,suez,2026-08-23,24,17.35,25.1,25.5,76.9,122.0,30.6,11.7,15
alexandria,Alexandria,Alexandria,alexandria,2026-08-24,24,17.71,24.6,25.74,64.4,66.0,27.8,6.7,18
aswan,Aswan,Aswan,aswan,2026-08-24,24,41.41,60.8,162.7,117.5,126.0,34.1,9.4,24
cairo,Cairo,Cairo,cairo_giza,2026-08-24,24,20.09,25.0,28.86,71.7,76.0,29.9,6.0,23
giza,Giza,Giza,cairo_giza,2026-08-24,24,20.09,25.0,28.86,71.7,76.0,29.8,7.0,23
luxor,Luxor,Luxor,luxor,2026-08-24,24,52.57,94.3,195.6,150.7,154.0,34.4,7.1,24
mansoura,Mansoura,Dakahlia,mansoura,2026-08-24,24,15.37,22.8,24.06,62.6,75.0,28.3,5.2,10
port_said,Port Said,Port Said,port_said,2026-08-24,24,16.37,23.4,24.83,63.8,75.0,28.0,8.7,13
suez,Suez,Suez,suez,2026-08-24,24,9.44,11.8,13.3,71.3,104.0,31.5,10.9,0
alexandria,Alexandria,Alexandria,alexandria,2026-08-25,24,15.16,19.4,26.29,63.5,67.0,28.4,9.9,11
aswan,Aswan,Aswan,aswan,2026-08-25,24,30.63,42.5,139.45,95.8,115.0,34.6,12.3,24
cairo,Cairo,Cairo,cairo_giza,2026-08-25,24,21.25,27.3,31.22,76.0,98.0,30.7,7.2,24
giza,Giza,Giza,cairo_giza,2026-08-25,24,21.25,27.3,31.22,76.0,98.0,30.5,8.4,24
luxor,Luxor,Luxor,luxor,2026-08-25,24,49.88,84.1,215.79,125.8,143.0,34.9,8.2,24
mansoura,Mansoura,Dakahlia,mansoura,2026-08-25,24,16.52,28.6,25.37,64.3,65.0,28.8,7.1,13
port_said,Port Said,Port Said,port_said,2026-08-25,24,19.1,28.0,32.36,69.4,85.0,28.4,9.1,18
suez,Suez,Suez,suez,2026-08-25,24,13.55,19.0,19.74,74.4,135.0,32.2,11.1,12
alexandria,Alexandria,Alexandria,alexandria,2026-08-26,24,13.55,15.1,26.49,59.4,62.0,29.0,12.6,1
aswan,Aswan,Aswan,aswan,2026-08-26,24,42.79,59.1,166.36,107.8,119.0,35.7,11.7,24
cairo,Cairo,Cairo,cairo_giza,2026-08-26,24,19.44,26.5,30.66,73.6,86.0,31.2,9.2,21
giza,Giza,Giza,cairo_giza,2026-08-26,24,19.44,26.5,30.66,73.6,86.0,31.2,10.8,21
luxor,Luxor,Luxor,luxor,2026-08-26,24,53.37,106.4,200.84,142.3,146.0,36.0,8.6,24
mansoura,Mansoura,Dakahlia,mansoura,2026-08-26,24,14.31,19.9,24.76,60.8,64.0,29.5,7.9,10
port_said,Port Said,Port Said,port_said,2026-08-26,24,17.57,23.4,31.11,72.0,91.0,28.5,10.3,16
suez,Suez,Suez,suez,2026-08-26,24,18.42,27.8,27.19,82.0,135.0,31.9,14.7,21
alexandria,Alexandria,Alexandria,alexandria,2026-08-27,24,15.36,17.9,30.63,59.8,62.0,28.5,10.6,14
aswan,Aswan,Aswan,aswan,2026-08-27,24,63.52,96.6,251.12,143.0,155.0,36.5,12.4,24
cairo,Cairo,Cairo,cairo_giza,2026-08-27,24,19.1,26.5,29.93,73.0,93.0,31.0,7.0,19
giza,Giza,Giza,cairo_giza,2026-08-27,24,19.1,26.5,29.93,73.0,93.0,30.9,7.9,19
luxor,Luxor,Luxor,luxor,2026-08-27,24,59.45,101.0,230.33,147.4,154.0,36.6,9.4,24
mansoura,Mansoura,Dakahlia,mansoura,2026-08-27,24,13.31,16.4,23.03,58.8,61.0,29.1,6.8,5
port_said,Port Said,Port Said,port_said,2026-08-27,24,17.17,24.0,28.97,71.3,95.0,28.6,9.6,15
suez,Suez,Suez,suez,2026-08-27,24,15.8,23.2,21.52,76.8,110.0,31.9,13.0,9
alexandria,Alexandria,Alexandria,alexandria,2026-08-28,24,17.28,19.5,35.26,64.1,66.0,28.8,12.3,22
aswan,Aswan,Aswan,aswan,2026-08-28,24,41.95,70.3,197.1,142.5,156.0,36.2,13.0,24
cairo,Cairo,Cairo,cairo_giza,2026-08-28,24,23.27,35.7,40.03,73.8,77.0,30.9,7.1,20
giza,Giza,Giza,cairo_giza,2026-08-28,24,23.27,35.7,40.03,73.8,77.0,30.7,7.8,20
luxor,Luxor,Luxor,luxor,2026-08-28,24,54.65,83.6,239.31,152.0,153.0,35.6,9.4,24
mansoura,Mansoura,Dakahlia,mansoura,2026-08-28,24,21.35,28.2,34.51,70.0,95.0,29.6,7.6,24
